Location ID,Location,School Year ,Number of Students,Funding Sources DSS ,Funding Sources Headstart ,Funding Sources School Readiness ,Funding Sources Other 
2,Ansonia,2010-11,**,**,**,**,-
9,Bethel,2010-11,81,-,-,81,-
11,Bloomfield,2010-11,**,**,**,**,**
14,Branford,2010-11,40,40,-,-,-
15,Bridgeport,2010-11,1764,27,770,945,22
17,Bristol,2010-11,321,32,71,212,6
24,Chaplin,2010-11,8,8,-,-,-
27,Clinton,2010-11,19,-,19,-,-
28,Colchester,2010-11,28,-,15,13,-
32,Coventry,2010-11,21,-,-,21,-
34,Danbury,2010-11,315,120,-,189,6
37,Derby,2010-11,36,30,6,-,-
43,East Hartford,2010-11,**,**,-,**,**
45,East Lyme,2010-11,**,**,-,-,-
49,Enfield,2010-11,67,20,-,15,32
57,Greenwich,2010-11,134,38,35,13,48
58,Griswold,2010-11,**,**,**,**,-
59,Groton,2010-11,109,20,40,23,26
60,Guilford,2010-11,**,**,-,-,**
62,Hamden,2010-11,30,30,-,-,-
64,Hartford,2010-11,1956,343,635,962,16
69,Killingly,2010-11,**,**,**,-,**
74,Litchfield,2010-11,6,-,-,6,-
77,Manchester,2010-11,60,44,-,16,-
78,Mansfield,2010-11,**,**,-,**,**
80,Meriden,2010-11,521,56,157,300,8
83,Middletown,2010-11,324,33,112,179,-
84,Milford,2010-11,94,46,19,12,17
86,Montville,2010-11,8,-,8,-,-
88,Naugatuck,2010-11,49,42,-,-,7
89,New Britain,2010-11,631,47,262,309,13
90,New Canaan,2010-11,17,17,-,-,-
91,New Fairfield,2010-11,15,-,-,15,-
93,New Haven,2010-11,**,**,-,**,**
95,New London,2010-11,197,20,50,94,33
96,New Milford,2010-11,28,28,-,-,-
94,Newington,2010-11,45,33,-,-,12
97,Newtown,2010-11,33,33,-,-,-
100,North Canaan,2010-11,13,-,-,13,-
101,North Haven,2010-11,**,**,-,-,**
103,Norwalk,2010-11,763,18,280,418,47
104,Norwich,2010-11,157,28,34,80,15
109,Plainfield,2010-11,37,-,37,-,-
110,Plainville,2010-11,54,30,-,14,10
111,Plymouth,2010-11,32,6,-,9,17
216,Pomfret Center,2010-11,17,-,-,17,-
113,Portland,2010-11,17,-,17,-,-
124,Seymour,2010-11,33,-,18,15,-
126,Shelton,2010-11,**,**,**,**,-
131,Southington,2010-11,41,41,-,-,-
135,Stamford,2010-11,850,228,193,429,-
137,Stonington,2010-11,17,-,17,-,-
138,Stratford,2010-11,124,-,96,28,-
140,Thomaston,2010-11,11,-,-,11,-
141,Thompson,2010-11,6,-,-,6,-
143,Torrington,2010-11,45,29,-,9,7
146,Vernon,2010-11,59,31,-,9,19
148,Wallingford,2010-11,27,27,-,-,-
151,Waterbury,2010-11,1148,18,326,768,36
152,Waterford,2010-11,**,**,-,-,**
153,Watertown,2010-11,30,-,-,-,30
155,West Hartford,2010-11,**,-,-,**,**
156,West Haven,2010-11,399,41,155,183,20
159,Wethersfield,2010-11,16,-,-,16,-
162,Winchester,2010-11,**,**,-,**,-
163,Windham,2010-11,178,59,-,90,29
164,Windsor,2010-11,45,-,31,14,-
166,Wolcott,2010-11,**,-,-,**,**
2,Ansonia,2009-10,161,16,92,53,-
9,Bethel,2009-10,79,-,-,79,-
11,Bloomfield,2009-10,148,40,59,49,-
14,Branford,2009-10,38,38,-,-,-
15,Bridgeport,2009-10,1578,35,705,804,34
17,Bristol,2009-10,**,**,**,**,**
19,Brooklyn,2009-10,9,9,-,-,-
24,Chaplin,2009-10,20,20,-,-,-
27,Clinton,2009-10,19,-,19,-,-
28,Colchester,2009-10,15,-,-,15,-
32,Coventry,2009-10,18,-,-,18,-
34,Danbury,2009-10,**,**,-,**,**
37,Derby,2009-10,37,37,-,-,-
43,East Hartford,2009-10,**,**,**,**,**
45,East Lyme,2009-10,**,**,**,-,-
49,Enfield,2009-10,**,**,-,**,**
57,Greenwich,2009-10,**,**,**,**,**
58,Griswold,2009-10,**,**,**,**,-
59,Groton,2009-10,110,13,48,18,31
60,Guilford,2009-10,**,**,-,-,**
62,Hamden,2009-10,30,30,-,-,-
64,Hartford,2009-10,1916,364,723,821,8
69,Killingly,2009-10,**,**,**,-,**
74,Litchfield,2009-10,6,-,-,6,-
77,Manchester,2009-10,57,38,-,19,-
78,Mansfield,2009-10,**,**,-,**,**
80,Meriden,2009-10,**,**,**,**,**
83,Middletown,2009-10,**,**,**,**,**
84,Milford,2009-10,107,60,21,13,13
86,Montville,2009-10,19,-,19,-,-
88,Naugatuck,2009-10,48,40,-,-,8
89,New Britain,2009-10,582,31,249,279,23
90,New Canaan,2009-10,20,20,-,-,-
91,New Fairfield,2009-10,15,-,-,15,-
93,New Haven,2009-10,**,**,-,**,**
95,New London,2009-10,185,19,44,79,43
96,New Milford,2009-10,15,15,-,-,-
94,Newington,2009-10,38,27,-,-,11
97,Newtown,2009-10,32,32,-,-,-
100,North Canaan,2009-10,15,-,-,15,-
101,North Haven,2009-10,**,**,-,-,**
103,Norwalk,2009-10,727,20,294,387,26
104,Norwich,2009-10,150,15,48,74,13
109,Plainfield,2009-10,30,-,30,-,-
110,Plainville,2009-10,40,33,-,-,7
111,Plymouth,2009-10,34,7,-,11,16
113,Portland,2009-10,15,-,15,-,-
124,Seymour,2009-10,30,-,19,11,-
126,Shelton,2009-10,**,-,**,**,-
131,Southington,2009-10,37,37,-,-,-
135,Stamford,2009-10,**,**,**,**,**
137,Stonington,2009-10,18,-,18,-,-
138,Stratford,2009-10,118,-,79,39,-
140,Thomaston,2009-10,15,-,-,15,-
141,Thompson,2009-10,**,-,-,**,**
143,Torrington,2009-10,**,**,-,**,**
146,Vernon,2009-10,**,**,-,**,-
148,Wallingford,2009-10,28,28,-,-,-
151,Waterbury,2009-10,1006,26,155,790,35
152,Waterford,2009-10,**,**,-,-,-
153,Watertown,2009-10,19,-,-,-,19
155,West Hartford,2009-10,8,-,-,8,-
156,West Haven,2009-10,393,43,165,169,16
159,Wethersfield,2009-10,15,-,-,15,-
162,Winchester,2009-10,22,13,-,9,-
163,Windham,2009-10,151,53,-,75,23
164,Windsor,2009-10,44,-,31,13,-
2,Ansonia,2008-09,139,22,77,40,-
9,Bethel,2008-09,61,-,-,61,-
11,Bloomfield,2008-09,172,50,69,53,-
14,Branford,2008-09,37,37,-,-,-
15,Bridgeport,2008-09,1681,169,666,790,56
17,Bristol,2008-09,**,**,**,**,**
19,Brooklyn,2008-09,7,7,-,-,-
24,Chaplin,2008-09,19,19,-,-,-
27,Clinton,2008-09,20,-,20,-,-
28,Colchester,2008-09,13,-,-,13,-
32,Coventry,2008-09,14,-,-,14,-
34,Danbury,2008-09,**,**,-,**,**
37,Derby,2008-09,89,35,43,11,-
42,East Hampton,2008-09,**,-,-,**,-
43,East Hartford,2008-09,**,**,-,**,**
45,East Lyme,2008-09,**,**,**,-,-
49,Enfield,2008-09,47,31,-,16,-
57,Greenwich,2008-09,**,**,**,**,**
58,Griswold,2008-09,**,-,**,**,-
59,Groton,2008-09,107,19,25,28,35
60,Guilford,2008-09,**,**,-,-,**
62,Hamden,2008-09,30,30,-,-,-
64,Hartford,2008-09,1883,354,688,827,14
69,Killingly,2008-09,98,49,49,-,-
74,Litchfield,2008-09,**,-,-,**,-
77,Manchester,2008-09,58,37,-,21,-
78,Mansfield,2008-09,**,**,-,**,**
80,Meriden,2008-09,**,**,**,**,**
83,Middletown,2008-09,**,**,**,**,**
84,Milford,2008-09,**,**,**,**,**
88,Naugatuck,2008-09,48,35,-,-,13
89,New Britain,2008-09,600,26,248,290,36
90,New Canaan,2008-09,19,19,-,-,-
91,New Fairfield,2008-09,15,-,-,15,-
93,New Haven,2008-09,**,**,-,**,**
95,New London,2008-09,266,31,32,94,109
96,New Milford,2008-09,26,26,-,-,-
94,Newington,2008-09,42,35,-,-,7
97,Newtown,2008-09,23,23,-,-,-
100,North Canaan,2008-09,12,-,-,12,-
101,North Haven,2008-09,16,16,-,-,-
103,Norwalk,2008-09,684,22,277,366,19
104,Norwich,2008-09,212,33,56,62,61
109,Plainfield,2008-09,36,-,36,-,-
110,Plainville,2008-09,**,**,-,-,**
111,Plymouth,2008-09,17,9,-,8,-
113,Portland,2008-09,18,-,18,-,-
124,Seymour,2008-09,49,-,21,28,-
126,Shelton,2008-09,**,-,-,**,-
131,Southington,2008-09,41,41,-,-,-
135,Stamford,2008-09,**,**,**,**,**
137,Stonington,2008-09,**,-,**,-,**
138,Stratford,2008-09,134,-,100,34,-
140,Thomaston,2008-09,15,-,-,15,-
141,Thompson,2008-09,**,-,-,**,-
143,Torrington,2008-09,**,**,-,**,**
146,Vernon,2008-09,**,**,**,**,-
148,Wallingford,2008-09,24,24,-,-,-
151,Waterbury,2008-09,1203,120,197,745,141
152,Waterford,2008-09,**,**,-,-,-
153,Watertown,2008-09,15,-,-,-,15
155,West Hartford,2008-09,**,-,-,**,**
156,West Haven,2008-09,**,**,**,**,**
159,Wethersfield,2008-09,10,-,-,10,-
162,Winchester,2008-09,31,18,-,13,-
163,Windham,2008-09,171,52,-,77,42
164,Windsor,2008-09,48,-,38,10,-
169,Woodstock,2008-09,**,-,-,**,**
