2012,,,,,
,,,,,
Tbl1: Special Education - Pre-Kindergarten Students with Disabilities by Age,,,,,
,,,,,
,,Age in Years,,,
Nexus District,Total Pre-K Students with Disabilities,3yrs,4yrs,5yrs,6yrs
Andover,*,*,*,*,*
Ansonia,22,12,10,0,0
Ashford,7,*,*,0,0
Avon,27,10,17,0,0
Barkhamsted,*,*,*,*,*
Berlin,29,13,*,*,0
Bethany,*,*,*,*,*
Bethel,21,9,12,0,0
Bloomfield,16,8,8,0,0
Bolton,8,*,*,0,0
Bozrah,*,*,*,*,*
Branford,28,*,14,*,0
Bridgeport,226,112,*,*,0
Bristol,95,47,48,0,0
Brookfield,13,*,*,0,0
Brooklyn,17,10,7,0,0
Canterbury,*,*,*,*,*
Canton,10,*,*,*,0
Chaplin,*,*,*,*,*
Cheshire,36,17,*,*,0
Chester,9,*,*,*,0
Clinton,17,*,9,*,0
Colchester,34,*,19,*,0
Colebrook,*,*,*,*,*
Columbia,6,*,*,0,0
Cornwall,*,*,*,*,*
Coventry,16,8,8,0,0
Cromwell,8,*,*,0,0
Danbury,87,*,44,*,0
Darien,43,*,18,*,0
Deep River,10,*,6,*,0
Derby,22,12,10,0,0
East Granby,7,*,*,0,0
East Haddam,19,6,13,0,0
East Hampton,15,*,*,0,0
East Hartford,58,31,25,*,*
East Haven,30,*,18,*,0
East Lyme,16,*,9,*,0
East Windsor,10,*,*,0,0
Eastford,*,*,*,*,*
Easton,15,7,*,*,0
Ellington,21,10,*,*,0
Enfield,62,36,26,0,0
Essex,15,8,*,*,0
Fairfield,90,*,52,*,0
Farmington,23,*,13,*,0
Franklin,*,*,*,*,*
Glastonbury,43,23,*,*,0
Granby,8,*,*,0,0
Greenwich,39,19,*,*,0
Griswold,22,13,9,0,0
Groton,56,28,*,*,0
Guilford,15,7,8,0,0
Hamden,62,*,35,*,0
Hampton,*,*,*,*,*
Hartford,280,143,124,*,*
Hartland,*,*,*,*,*
Hebron,16,10,*,*,0
Kent,*,*,*,*,*
Killingly,27,14,*,*,0
Lebanon,12,7,*,0,0
Ledyard,26,10,16,0,0
Lisbon,6,*,*,0,0
Litchfield,*,*,*,*,*
Madison,24,13,7,*,*
Manchester,51,34,*,*,0
Mansfield,11,6,*,0,0
Marlborough,8,*,*,*,0
Meriden,104,44,60,0,0
Middletown,63,*,34,*,0
Milford,38,21,17,0,0
Monroe,24,*,11,*,0
Montville,22,12,10,0,0
Naugatuck,34,17,17,0,0
New Britain,160,68,92,0,0
New Canaan,23,*,12,*,0
New Fairfield,23,12,*,*,0
New Hartford,*,*,*,*,*
New Haven,130,58,64,8,0
New London,51,27,24,0,0
New Milford,31,12,19,0,0
Newington,42,19,21,*,*
Newtown,34,19,15,0,0
Norfolk,*,*,*,*,*
North Branford,22,13,9,0,0
North Canaan,*,*,*,*,*
North Haven,19,10,9,0,0
North Stonington,*,*,*,*,*
Norwalk,104,51,*,*,0
Norwich,77,*,42,*,0
Old Saybrook,22,*,14,*,0
Orange,9,*,*,*,0
Oxford,14,8,*,*,0
Plainfield,24,9,15,0,0
Plainville,33,19,*,*,0
Plymouth,15,8,7,0,0
Pomfret,7,*,*,0,0
Portland,14,*,9,*,0
Putnam,22,*,11,*,0
Redding,11,*,6,*,0
Region 10,14,7,7,0,0
Region 12,6,*,*,*,0
Region 13,11,*,*,0,0
Region 14,7,0,*,*,0
Region 15,39,16,17,6,0
Region 16,30,16,14,0,0
Region 17,33,*,16,*,0
Region 18,18,*,8,*,0
Region 6,7,*,*,*,0
Ridgefield,20,9,11,0,0
Rocky Hill,14,9,*,0,0
Salem,*,*,*,*,*
Salisbury,6,*,*,0,0
Scotland,*,*,*,*,*
Seymour,12,6,6,0,0
Sharon,*,*,*,*,*
Shelton,37,18,*,*,0
Sherman,8,*,*,0,0
Simsbury,28,17,*,*,0
Somers,11,*,*,0,0
South Windsor,47,22,*,*,0
Southington,76,*,41,*,0
Sprague,*,*,*,*,*
Stafford,15,8,*,*,0
Stamford,104,61,43,0,0
Sterling,*,*,*,*,*
Stonington,18,14,*,*,0
Stratford,42,21,21,0,0
Suffield,16,*,8,*,0
Thomaston,8,*,*,0,*
Thompson,10,*,*,*,0
Tolland,22,11,*,*,0
Torrington,51,17,34,0,0
Trumbull,55,*,34,*,0
Vernon,33,18,*,*,0
Voluntown,*,*,*,*,*
Wallingford,65,27,29,9,0
Waterbury,171,*,85,*,0
Waterford,21,12,*,*,0
Watertown,21,8,13,0,0
West Hartford,90,45,*,*,0
West Haven,75,*,43,*,0
Westbrook,12,6,*,*,0
Weston,13,*,9,*,0
Westport,21,*,13,*,0
Wethersfield,38,18,*,*,0
Willington,8,6,*,0,0
Wilton,35,17,*,*,0
Winchester,21,*,13,*,0
Windham,48,33,15,0,0
Windsor,33,16,17,0,0
Windsor Locks,9,*,*,0,0
Wolcott,9,*,*,*,0
Woodbridge,*,*,*,*,*
Woodstock,11,7,*,0,0
STATEWIDE,4630,2176,2271,*,*
